Id,Name,Category,ImageLocation
400,Applause Japanese Restaurant,Hero,ApplauseJapaneseRestaurant_Hero
401,Ban Chok Dee Thai Cuisine,Hero,BanChokDeeThaiCuisine_Hero
402,Bombay Masala Indian Restaurant,Hero,BombayMasalaIndianRestaurant
403,Gong Cha Hero,Hero,GongCha_Hero
404,Happy Valley Seafood Restaurant,Hero,Happy Valley Seafood Restaurant_Hero
405,Western Lake Chinese Seafood Restaurant,Hero,WesternLakeChineseSeafoodRestaurant_Hero.CR3
